NAME	ending	population
Litka	other	48
Mád	other	2187
Makkoshotyka	other	882
Mályi	other	4205
Mályinka	other	475
Martonyi	other	424
Megyaszó	other	2774
Méra	other	1727
Meszes	other	175
Mezőnagymihály	other	1017
Mezőnyárád	other	1627
Mezőzombor	other	2467
Mikóháza	háza	540
Mogyoróska	other	81
Monaj	other	257
Monok	other	1521
Muhi	other	502
Nagybarca	other	882
Nagycsécs	other	805
Nagyhuta	other	64
Nagykinizs	other	357
Nagyrozvágy	other	707
Négyes	other	280
Nekézseny	other	687
Nemesbikk	other	927
Novajidrány	other	1394
Nyésta	other	38
Nyíri	other	420
Nyomár	other	317
Olaszliszka	other	1713
Ónod	other	2405
Ormosbánya	other	1651
Oszlár	other	391
Pácin	other	1498
Pamlény	other	50
Pányok	other	63
Parasznya	other	1197
Pere	other	344
Perecse	other	27
Perkupa	other	884
Prügy	other	2596
Pusztafalu	falu	200
Pusztaradvány	other	228
Radostyán	other	586
Ragály	other	619
Rakaca	other	903
Rakacaszend	other	389
Rásonysápberencs	other	556
Rátka	other	925
Regéc	other	94
Répáshuta	other	452
Révleányvár	vár	508
Rudolftelep	other	751
Sajóecseg	other	1075
Sajógalgóc	other	370
Sajóhídvég	other	1173
Sajóivánka	other	648
Sajókápolna	other	392
Sajókaza	other	3114
Sajókeresztúr	túr	1535
Sajólád	other	3010
Sajólászlófalva	falva	436
Sajómercse	other	226
Sajónémeti	other	497
Sajóörös	other	1332
Sajópálfala	other	746
Sajópetri	other	1562
Sajópüspöki	other	530
Sajósenye	other	418
Sajószöged	other	2268
Sajóvámos	other	2150
Sajóvelezd	other	803
Sály	other	1822
Sárazsadány	other	250
Sáta	other	1185
Selyeb	other	488
Semjén	other	547
Serényfalva	falva	1004
Sima	other	33
Sóstófalva	falva	262
Szakácsi	other	188
Szakáld	other	516
Szalaszend	other	1082
Szalonna	other	1032
Szászfa	fa	123
Szegi	other	307
Szegilong	other	259
Szemere	other	417
Szendrőlád	other	2139
Szentistvánbaksa	other	273
Szin	other	841
Szinpetri	other	221
Szomolya	other	1594
Szögliget	other	622
Szőlősardó	other	115
Szuhafő	other	149
Szuhakálló	other	1006
Szuhogy	other	1130
Taktabáj	other	607
Taktakenéz	other	1277
Taktaszada	other	1955
Tállya	other	1852
Tarcal	other	2851
Tard	other	1177
Tardona	other	1034
Telkibánya	other	606
Teresztenye	other	24
Tibolddaróc	other	1364
Tiszabábolna	other	355
Tiszacsermely	other	582
Tiszadorogma	other	377
Tiszakarád	other	2480
Tiszakeszi	other	2654
Tiszaladány	other	617
Tiszapalkonya	other	1468
Tiszatardos	other	245
Tiszatarján	other	1436
Tiszavalk	other	305
Tolcsva	other	1759
Tomor	other	235
Tornabarakony	other	20
Tornakápolna	other	36
Tornanádaska	other	759
Tornaszentandrás	other	184
Tornaszentjakab	other	220
Tornyosnémeti	other	496
Trizs	other	213
Újcsanálos	other	876
Uppony	other	292
Vadna	other	623
Vágáshuta	other	99
Vajdácska	other	1288
Vámosújfalu	falu	751
Varbó	other	1124
Varbóc	other	55
Vatta	other	883
Vilmány	other	1492
Vilyvitány	other	258
Viss	other	671
Viszló	other	70
Vizsoly	other	943
Zádorfalva	falva	502
Zalkod	other	219
Zemplénagárd	other	773
Ziliz	other	394
Zsujta	other	175
Zubogy	other	540
Ambrózfalva	falva	507
Apátfalva	falva	3028
Árpádhalom	halom	496
Ásotthalom	halom	4030
Baks	other	2057
Balástya	other	3495
Bordány	other	3227
Csanádalberti	other	468
Csanytelek	telek	2660
Csengele	other	2019
Derekegyház	other	1594
Deszk	other	3872
Dóc	other	753
Domaszék	other	5086
Eperjes	other	485
